taue,taui,alpha,speed,gei,gii,tauC,r_tot,r_psd,r_sp,sub,flag,status,success
7.104344120229002968e+00,4.307405336066950241e+01,1.000000000000000000e+00,5.299999999999999822e+00,1.504618097661257092e+00,8.491583064759241850e+00,1.417635715560286336e+01,1.481974611484862425e+00,9.038415178629393143e-01,5.781330936219232219e-01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.470912533651427090e+01,1.512177473273021810e+01,1.000000000000000000e+00,3.051948832198887018e+00,5.000000000000000000e-01,8.368839708625189999e+00,9.520119161561053645e+00,1.489195670288574913e+00,8.959047190306245190e-01,5.932909512579505051e-01,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.287214893504550872e+01,1.548265996763550056e+01,1.000000000000000000e+00,5.299999999999999822e+00,2.687944562604696053e+00,4.725376104328388394e+00,1.240723092181724674e+01,1.504326075133498364e+00,9.323583069430082526e-01,5.719677681904900002e-01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.968555429889580211e+01,2.748903749748071235e+01,1.000000000000000056e-01,3.041038437193789967e+00,5.831530470307619396e+00,1.000000000000000000e+01,1.543681229295115465e+01,1.454944350870146064e+00,8.751050975124785580e-01,5.798392533576675056e-01,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.315314373852697472e+01,5.000000000000000000e+00,1.000000000000000056e-01,2.590939115257836267e+00,6.729738995342579244e+00,7.293002013485946122e+00,2.054839136758526408e+01,1.551942318312065749e+00,8.559101049967867691e-01,6.960322133152789803e-01,4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.536916875939971483e+01,3.802069621414821654e+01,1.000000000000000000e+00,3.396891540903141049e+00,1.975406605969255880e+00,1.000000000000000000e+01,7.721060274401381207e+00,1.477441752496964078e+00,9.248302887596606681e-01,5.526114637373035210e-01,5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.802078545821429145e+01,5.545340407333754484e+01,1.000000000000000000e+00,1.715122086423580772e+00,3.137071842292225465e+00,9.859526706638161997e+00,1.506599746355801273e+01,1.493155986896273379e+00,9.145175126816145195e-01,5.786384742146588600e-01,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.441702976378565104e+01,6.838591413629114868e+01,1.000000000000000056e-01,2.711354639712791226e+00,5.977283092932792030e+00,7.598451934763652993e+00,2.271014351666151043e+01,1.436164650510567409e+00,8.821501406238736465e-01,5.540145098866938733e-01,7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.928136773925837844e+01,6.495450854311137334e+01,9.215672394321577920e-01,3.409215916957936354e+00,3.110888283597966986e+00,1.000000000000000000e+01,7.493884418115788648e+00,1.507578733167274532e+00,9.092260976714131582e-01,5.983526354958613735e-01,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.141437687576641657e+01,8.369102480025726720e+01,1.000000000000000000e+00,5.299999999999999822e+00,8.506515686897760276e+00,6.323300047780261224e+00,2.459800340914356909e+01,1.553045965156951258e+00,9.009407677611244170e-01,6.521051973958267300e-01,9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
