taue,taui,alpha,speed,gei,gii,tauC,r_tot,r_psd,r_sp,sub,flag,status,success
7.143339766771806154e+00,2.000000000000000000e+02,6.849425314561797817e-01,5.299999999999999822e+00,7.590355176960057015e+00,5.000000000000000000e-01,1.440844257573893117e+01,1.477377262497285182e+00,9.012275800100459922e-01,5.761496824872391898e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.470668354204923922e+01,1.546751786691081065e+01,1.000000000000000000e+00,5.299999999999999822e+00,5.000000000000000000e-01,8.554861055927732494e+00,9.806986144961367557e+00,1.489549465563927200e+00,8.975892907380360608e-01,5.919601748258911389e-01,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.263987562136578369e+00,3.097317425177748973e+01,1.000000000000000000e+00,5.299999999999999822e+00,3.908240976195447303e+00,1.000000000000000000e+01,1.301385257237000381e+01,1.505455296547772104e+00,9.326926527210795959e-01,5.727626438266923969e-01,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,2.754045073916253372e+01,1.000000000000000056e-01,3.041138253990785856e+00,5.875481820687557644e+00,1.000000000000000000e+01,1.545769927398179355e+01,1.454945128354314221e+00,8.750918450808838900e-01,5.798532832734303311e-01,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.641872869152734893e+00,2.532642841365531083e+01,1.000000000000000000e+00,1.725371382369359718e+00,1.264070977405070906e+00,3.363465008627408714e+00,1.082983176313213569e+01,1.537225106678066666e+00,8.361967523822453341e-01,7.010283542958213321e-01,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.536988812813492444e+01,3.802505830467581660e+01,1.000000000000000000e+00,3.396893908786638328e+00,1.974872577358271597e+00,1.000000000000000000e+01,7.721254251868231222e+00,1.477441754460417034e+00,9.248308763158448187e-01,5.526108781445722151e-01,5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.801809684411167467e+01,5.542759764202855166e+01,1.000000000000000000e+00,1.715119487057623848e+00,3.134283306855103035e+00,9.847675209825670350e+00,1.506586088758593078e+01,1.493155986188131390e+00,9.145170871486406616e-01,5.786388990394908394e-01,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.488612839620525818e+01,5.287936852194221871e+01,1.000000000000000056e-01,2.710508050263602975e+00,2.466305036424479624e+00,1.000000000000000000e+01,1.980512628421199395e+01,1.436038715410770328e+00,8.820641160936198988e-01,5.539745993171504290e-01,7.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.928145341422576564e+01,6.495646089878630391e+01,9.215357587842882836e-01,3.409133109648059268e+00,3.110991896594982986e+00,1.000000000000000000e+01,7.493974933496280855e+00,1.507578733552398020e+00,9.092266501583021743e-01,5.983520833940959571e-01,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,6.814464481650756511e+01,1.000000000000000000e+00,5.299999999999999822e+00,1.197773929750498789e+00,1.000000000000000000e+01,1.227791868196553793e+01,1.552914319296023749e+00,8.978205048355354378e-01,6.550938144604881996e-01,9.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.184619171308171737e+01,3.549786420550619681e+01,7.932670095209111150e-01,2.985486911885100181e+00,2.584379819847373305e+00,1.000000000000000000e+01,6.827661876295146648e+00,1.553248683131053909e+00,9.036392826411463464e-01,6.496094004899076735e-01,1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
