# taue, taui, alpha, speed, gei, gii, tauC, r_tot, r_psd, r_sp, sub, flag, status, success
7.180435497043268001e+00,1.369294127462792332e+01,1.000000000000000000e+00,5.971262740887881115e+00,3.459840469252591366e-01,5.909272603609388996e-01,1.218346975070612004e+01,1.476897440874741729e+00,8.969190012994244787e-01,5.799784395753171395e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.493113162997920362e+01,5.686400734772223409e+00,1.000000000000000000e+00,7.107458302945548034e+00,1.000000000000000021e-03,8.306436009446747093e-01,1.113437132404026109e+01,1.495818974862454631e+00,9.025108133903085861e-01,5.933081614721461561e-01,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.421686290772942662e+01,8.713760493988013778e+00,1.000000000000000000e+00,6.171366037977852770e+00,6.517611343952547376e-01,1.459533805438404164e+00,1.243134622517375298e+01,1.507735040507552249e+00,9.334050323997198362e-01,5.743300081078325237e-01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.745141602446686591e+00,5.000000000000000000e+00,1.000000000000000000e+00,8.257820659328052315e+00,3.448255415115227818e-01,4.245802289630065673e-02,1.407177588929331868e+01,1.462959963306393441e+00,8.772008253364605990e-01,5.857591379699327305e-01,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.871346837624702886e+00,5.000000000000000000e+00,5.713881327080780892e-01,7.499329694649558675e+00,3.047819178004098628e-01,1.050570715894637130e+00,1.707677234670476452e+01,1.548155833694521366e+00,8.511516532986833639e-01,6.970041803958380022e-01,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.302440856556706983e+01,5.000000000000000000e+00,1.000000000000000000e+00,5.125348190952554894e+00,2.163658444426555250e-01,1.180003016599448645e-01,7.682253157027451707e+00,1.474629017985010782e+00,9.268848028485080492e-01,5.477442151365027323e-01,5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.070772291533448950e+01,1.033078021503782118e+01,1.000000000000000000e+00,7.327405108834533998e+00,2.872378642299903695e-01,3.491497321544773658e-01,1.567685897140925810e+01,1.481897167531449400e+00,9.194845929960161479e-01,5.624125745354332517e-01,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.130189482131477163e+01,8.114643823270629497e+00,1.000000000000000000e+00,6.742993225897569332e+00,2.301969813217524252e-01,2.147091133039372712e-01,1.555161500718401157e+01,1.440715591188677980e+00,8.841021984840186088e-01,5.566133927046594820e-01,7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.954312278369921430e+01,1.308618975668737328e+01,1.000000000000000000e+00,5.000000000000000000e+00,3.296389948450777485e-01,3.428401465858914587e-01,7.487569358962390176e+00,1.504601533329329222e+00,9.078608773133842735e-01,5.967406560159450590e-01,8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.686566136310080211e+01,7.449787123512418674e+00,1.000000000000000000e+00,6.898438753714372318e+00,1.000000000000000021e-03,7.228925765992900709e-01,1.407182029021058156e+01,1.560123327950462269e+00,9.013362069622977701e-01,6.587871209881643875e-01,9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
